id,canonical_ko,variants_ko,domain,risk_level,plain_ko,translate_as_ko,vi,th,id_translation,ne,km,asr_corrections,translation_rule,confidence,needs_field_review
SL011,단도리,단도리|단도리하다|준비|작업준비,site_slang,normal,작업을 시작하기 전에 필요한 준비와 정리를 하는 것입니다.,작업 준비,chuẩn bị công việc,เตรียมงาน,persiapan kerja,कामको तयारी,ការរៀបចំការងារ,단돌이|단도리 해,"Translate as preparation/setup, not as command to hurry.",high,false
SL012,시마이,시마이|시마이하다|마감|끝내기,site_slang,normal,작업을 끝내거나 마감하는 것을 뜻하는 표현입니다.,작업 종료 또는 마감,kết thúc hoặc hoàn thiện công việc,จบงานหรือเก็บงาน,menyelesaikan/menutup pekerjaan,काम सक्ने वा अन्तिम मिलाउने,បញ្ចប់ ឬ បិទការងារ,시마이해|시마이 치자,"Translate as finish/close out work. In finishing-trade context, use finish work.",high,false
SL013,유도리,유도리|여유|허용오차,site_slang,normal,작업 치수나 일정에서 약간의 여유를 뜻하는 표현입니다.,여유 또는 허용오차,khoảng dư hoặc dung sai,ระยะเผื่อหรือค่าคลาดเคลื่อนที่ยอมรับได้,kelonggaran atau toleransi,छुट वा सहनशीलता,ចន្លោះបន្ថែម ឬ កម្រិតអនុញ្ញាត,유도리 있게,"Translate as tolerance/allowance in technical context, flexibility in schedule context.",medium,true
SL014,구루마,구루마|손수레|대차|카트,site_slang,high,물건을 싣고 미는 손수레나 대차입니다.,손수레 또는 대차,xe đẩy tay hoặc xe đẩy hàng,รถเข็นหรือรถเข็นของ,troli atau gerobak dorong,ठेलागाडी वा ट्रली,រទេះរុញ ឬ ត្រូលី,구르마|구루마 끌어,Translate as handcart/trolley.,high,false
SL015,빠루,빠루|바루|쇠지렛대|지렛대,site_slang,high,못을 빼거나 물건을 들어 올리는 쇠지렛대입니다.,쇠지렛대,xà beng,ชะแลง,linggis,फलामे लिभर/क्राउबार,ដែកគាស់,파루|빠루로,"Translate as crowbar/pry bar. In safety context, warn about pinch/strike hazard.",high,false
SL016,빠렛트,빠렛트|파렛트|팔레트,logistics_slang,high,화물을 올려 운반하는 받침대입니다.,팔레트,pallet,พาเลท,palet,प्यालेट,ប៉ាឡែត,빠레트|파레트,Normalize to pallet before translation.,high,false
SL017,공구리,공구리|콘크리트|레미콘,construction_slang,normal,콘크리트를 뜻하는 현장 표현입니다.,콘크리트,bê tông,คอนกรีต,beton,कंक्रिट,បេតុង,공구리쳐|공구리 타설,"Translate as concrete. If action is pour/place, translate full action as concrete pouring.",high,false
SL018,메지,메지|줄눈|이음새|틈,construction_slang,normal,"타일, 블록, 콘크리트 사이의 줄눈이나 이음새입니다.",줄눈 또는 이음새,mạch nối hoặc khe nối,ร่องยาแนวหรือรอยต่อ,nat atau sambungan,जोडाइको खाली ठाउँ/जोइन्ट,ចន្លោះតភ្ជាប់ ឬ ស្នាមតភ្ជាប់,메지 넣어|메지 파,Translate as joint/grout joint depending on tile/concrete context.,medium,true
SL019,고바이,고바이|구배|물매|경사,construction_slang,normal,물이 흐르도록 만든 바닥이나 배관의 기울기입니다.,경사 또는 구배,độ dốc,ความลาดเอียง,kemiringan,ढलान,ជម្រាល,구바이|고바이 줘,"Translate as slope/gradient. If drainage context, use drainage slope.",medium,true
SL020,다데,다데|세로|수직,construction_slang,normal,세로 방향 또는 수직 방향을 뜻하는 현장 표현입니다.,세로 또는 수직,chiều dọc hoặc thẳng đứng,แนวตั้ง,vertikal,ठाडो दिशा,ទិសបញ្ឈរ,다대|다데로,Translate as vertical direction.,medium,true
SL021,요코,요코|가로|수평,construction_slang,normal,가로 방향 또는 수평 방향을 뜻하는 현장 표현입니다.,가로 또는 수평,chiều ngang hoặc nằm ngang,แนวนอน,horizontal,तेर्सो दिशा,ទិសផ្ដេក,요꼬|요코로,Translate as horizontal direction.,medium,true
SL022,하리,하리|보|빔,construction_slang,high,건축 구조에서 하중을 받는 보 또는 빔을 뜻하는 표현입니다.,보 또는 빔,dầm,คาน,balok struktur,बिम,ធ្នឹម,하리 밑|하리 설치,"Translate as structural beam, not as generic line.",medium,true
SL023,기소,기소|기초|기초공사,construction_slang,high,건물이나 설비를 받치는 기초 부분 또는 기초공사입니다.,기초 또는 기초공사,móng hoặc công tác móng,ฐานรากหรืองานฐานราก,fondasi atau pekerjaan fondasi,जग वा जगको काम,គ្រឹះ ឬ ការងារគ្រឹះ,기소 작업,Translate as foundation/foundation work.,medium,true
SL024,가다,가다|형틀|틀|본,construction_manufacturing_slang,normal,모양이나 치수를 맞추기 위한 틀이나 기준본을 뜻하는 표현입니다.,형틀 또는 기준본,khuôn mẫu hoặc mẫu chuẩn,แบบหรือแม่แบบ,pola/cetakan acuan,ढाँचा वा नमूना,ពុម្ព ឬ គំរូ,가다 떠|가다 잡아,Translate as template/form depending on context. Mark uncertain if sentence is ambiguous.,medium_low,true
SL025,기스,기스|스크래치|긁힘,quality_slang,normal,제품 표면이 긁힌 자국입니다.,긁힘,vết xước,รอยขีดข่วน,goresan,कोरिएको दाग,ស្នាមឆ្កូត,기스났어|기스남,Translate as scratch in quality context.,high,false
SL026,빵꾸,빵꾸|구멍|펑크|누락,site_slang,normal,"문맥에 따라 구멍, 펑크, 일정/인원 누락을 뜻합니다.",구멍 또는 누락,lỗ thủng hoặc thiếu người/thiếu việc,รูรั่วหรือขาดคน/ขาดงาน,lubang/bocor atau kekurangan orang,प्वाल वा मान्छे/कामको कमी,រន្ធ ឬ ខ្វះមនុស្ស/ការងារ,빵구|빵꾸났어,"Use context: material=torn/hole, tire=puncture, staffing=schedule gap.",medium,true
SL027,빠꾸,빠꾸|반품|되돌림|후진|재작업,site_slang,normal,"문맥에 따라 되돌림, 반품, 후진, 재작업을 뜻합니다.",되돌림 또는 재작업,trả lại/quay lại hoặc làm lại,ส่งกลับ/ถอยหลังหรือแก้งาน,kembali/retur atau kerja ulang,फिर्ता वा पुन: काम,ត្រឡប់វិញ ឬ ធ្វើឡើងវិញ,빠꾸해|빠꾸났어,"Use context: vehicle=reverse, product=return/reject, work=rework.",medium,true
SL028,땜빵,땜빵|대체투입|임시대체,site_slang,normal,빈자리를 임시로 메우는 사람이나 작업입니다.,임시 대체,người/thao tác thay thế tạm thời,คนหรือการทำงานแทนชั่วคราว,pengganti sementara,अस्थायी सट्टा/बदली,អ្នកជំនួសបណ្តោះអាសន្ន,땜방|땜빵쳐,Translate neutrally as temporary replacement/cover. Avoid slang tone.,high,false
SL029,야리끼리,야리끼리|물량 끝내기|작업량 완료 후 종료,site_slang,normal,정해진 물량을 끝내면 일찍 마치는 방식입니다.,정해진 작업량 완료 후 종료,kết thúc sau khi hoàn thành khối lượng đã giao,เลิกงานเมื่อทำปริมาณงานที่กำหนดเสร็จ,selesai setelah target pekerjaan selesai,तोकिएको काम सकेपछि समाप्त,បញ្ចប់បន្ទាប់ពីធ្វើបរិមាណការងារបានរួច,야리키리|야리끼리야,"Translate by labor arrangement, not literally.",medium,true
SL030,함바,함바|현장식당|식당,site_slang,normal,건설현장이나 작업장 주변 식당입니다.,현장 식당,nhà ăn công trường,โรงอาหารหน้างาน,kantin lokasi kerja,साइट क्यान्टिन,អាហារដ្ឋានការដ្ឋាន,함바집|함바 가,Translate as site canteen/cafeteria.,high,false
SL031,아나방,아나방|구멍뚫기|코어작업|천공,construction_slang,high,"벽, 바닥, 콘크리트 등에 구멍을 뚫는 작업을 뜻하는 표현으로 쓰일 수 있습니다.",천공 또는 코어 작업,khoan lỗ hoặc khoan rút lõi,เจาะรูหรือเจาะคอร์,pengeboran lubang atau coring,प्वाल पार्ने वा कोर ड्रिलिङ,ខួងរន្ធ ឬ ខួងយកក័រ,아나바|아나방 해,"Field meaning varies. Prefer drilling/coring only if context includes holes, wall, slab, pipe opening.",low,true
SL032,메꾸라,메꾸라|막음|마개|블라인드,construction_manufacturing_slang,normal,구멍이나 배관 끝을 임시 또는 영구적으로 막는 부품/조치입니다.,마개 또는 막음,nút bịt hoặc bịt kín,จุกปิดหรือการปิดรู,sumbat atau penutup,बन्द गर्ने प्लग वा ढकनी,គម្របបិទ ឬ ដោតបិទ,메꾸라 쳐|메꾸라캡,Translate as plug/cap/blanking depending on pipe or hole context.,medium_low,true
SL033,오함마,오함마|큰 망치|대형망치,site_slang,high,콘크리트나 구조물을 치는 큰 망치입니다.,대형 망치,búa tạ,ค้อนปอนด์,palu godam,ठूलो हथौडा,ញញួរធំ,오함마질|오함마로,Translate as sledgehammer. Include strike hazard if used as instruction.,high,false
SL034,함마드릴,함마드릴|해머드릴|진동드릴,site_slang,high,콘크리트 등에 구멍을 뚫는 충격 드릴입니다.,해머드릴,máy khoan búa,สว่านกระแทก,bor palu,ह्यामर ड्रिल,ម៉ាស៊ីនខួងញ័រ,하마드릴|함마 드릴,Translate as hammer drill.,high,false
SL035,구배잡다,구배잡다|물매잡다|경사 맞추다,construction_slang,normal,물이 흐르도록 바닥이나 배관의 기울기를 맞추는 작업입니다.,경사를 맞추다,tạo độ dốc đúng,ปรับความลาดเอียงให้ถูกต้อง,mengatur kemiringan,ढलान मिलाउनु,កែជម្រាលឱ្យត្រឹមត្រូវ,고바이 잡아|구배 봐,"Translate as set/check slope, especially for drainage.",medium,true
SL036,레벨보다,레벨보다|수평보다|레벨 확인,construction_slang,normal,수평이나 높이가 맞는지 확인하는 작업입니다.,수평 또는 높이 확인,kiểm tra cao độ hoặc độ bằng phẳng,ตรวจระดับหรือความสูง,memeriksa level/ketinggian,लेभल वा उचाइ जाँच्नु,ពិនិត្យកម្រិត ឬ កម្ពស់,레벨 봐|레벨봐,Translate as check level/elevation.,high,false
SL037,먹놓다,먹놓다|먹줄치다|기준선 표시,construction_slang,normal,먹줄로 기준선을 표시하는 작업입니다.,먹줄로 기준선을 표시하다,bật dây mực để đánh dấu đường chuẩn,ตีเส้นด้วยเชือกหมึก,menandai garis dengan benang tinta,मसी डोरीले रेखा चिन्ह लगाउनु,គូសខ្សែដោយខ្សែទឹកខ្មៅ,먹 놔|먹 쳐,Translate as snap chalk/ink line. Link to 스미마끼.,high,false
SL038,가라,가라|가짜|임시|대충,site_slang,normal,"문맥에 따라 가짜, 임시, 대충 처리라는 부정적 의미가 있습니다.",가짜 또는 임시 처리,giả hoặc xử lý tạm bợ,ของปลอมหรือทำชั่วคราวแบบลวกๆ,palsu atau pengerjaan sementara/asalan,नक्कली वा अस्थायी/लापरवाही काम,ក្លែងក្លាយ ឬ ធ្វើបណ្តោះអាសន្នមិនរឹងមាំ,가라로|가라 작업,"Use caution. If safety/quality context, translate as improper temporary/fake work, not neutral temporary work.",medium,true
SL039,조지다,조지다|세게 하다|망치다|처리하다,site_slang,normal,"문맥에 따라 세게 작업하다, 망치다, 빨리 처리하다 등 의미가 달라지는 거친 표현입니다.",문맥에 따라 강하게 작업하거나 망치다,làm mạnh tay hoặc làm hỏng tùy ngữ cảnh,ทำแรงๆ หรือทำเสีย ขึ้นกับบริบท,"mengerjakan keras atau merusak, tergantung konteks",सन्दर्भअनुसार जोडले गर्नु वा बिगार्नु,អាស្រ័យលើបរិបទ អាចមានន័យថាធ្វើខ្លាំង ឬ ធ្វើខូច,조져|조졌어,Do not translate literally. Prefer neutral operational meaning; flag as ambiguous.,low,true
SL040,쪼인트,쪼인트|조인트|이음|연결부,construction_manufacturing_slang,normal,자재나 배관 등이 서로 이어지는 연결부입니다.,이음부 또는 연결부,mối nối hoặc điểm nối,รอยต่อหรือจุดเชื่อมต่อ,sambungan atau titik koneksi,जोड्ने भाग,ចំណុចតភ្ជាប់,조인트 봐|쪼인트,Normalize to joint/connection.,high,false
SL041,빠데,빠데|퍼티|메움재,construction_manufacturing_slang,normal,틈이나 흠집을 메우는 퍼티/충전재입니다.,퍼티 또는 메움재,bột trét hoặc vật liệu trám,โป๊วหรือวัสดุอุด,dempul atau bahan pengisi,पुट्टी वा भर्ने सामग्री,ប៉ូតទី ឬ សម្ភារៈបំពេញ,빠대|빠데질,Translate as putty/filler; in paint context use puttying.,medium,true
SL042,빠데질,빠데질|퍼티작업|메움작업,construction_manufacturing_slang,normal,흠집이나 틈을 퍼티로 메우고 다듬는 작업입니다.,퍼티 작업,trét bột/thi công putty,งานโป๊ว,pekerjaan dempul,पुट्टी लगाउने काम,ការងារប៉ូតទី,빠대질,Translate as puttying/filling work.,medium,true
SL043,기리,기리|드릴날|비트,manufacturing_slang,high,드릴에 끼워 구멍을 뚫는 날 또는 비트입니다.,드릴 비트,mũi khoan,ดอกสว่าน,mata bor,ड्रिल बिट,មុខខួង,기리 갈아|기리 바꿔,"Translate as drill bit, not drill machine unless context says tool body.",medium,true
SL044,다마,다마|볼|구슬|전구,site_slang,normal,"문맥에 따라 볼, 구슬, 전구 등을 뜻할 수 있는 일본어계 표현입니다.","볼, 구슬 또는 전구",bi/viên hoặc bóng đèn tùy ngữ cảnh,ลูกกลมหรือหลอดไฟ ขึ้นกับบริบท,"bola/butir atau lampu, tergantung konteks",सन्दर्भअनुसार बल/गोटी वा बल्ब,អាស្រ័យលើបរិបទ គ្រាប់បាល់/គ្រាប់ ឬ អំពូល,다마 나갔어,"Ambiguous. Use surrounding nouns: light=bulb, bearing=ball, product=bead.",low,true
SL045,도비,도비|중량물 운반|기계 설치 운반,site_slang,high,무거운 기계나 설비를 옮기고 설치하는 작업 또는 작업자를 뜻합니다.,중량물 운반/설치 작업,vận chuyển/lắp đặt vật nặng hoặc máy móc,งานขนย้าย/ติดตั้งของหนักหรือเครื่องจักร,pekerjaan pemindahan/pemasangan barang berat,भारी सामान/मेसिन सार्ने वा जडान गर्ने काम,ការដឹកជញ្ជូន/ដំឡើងវត្ថុធ្ងន់ ឬ ម៉ាស៊ីន,도비작업|도비 불러,Translate as heavy equipment moving/rigging. Include lifting hazard.,medium,true
SL046,양중,양중|리프팅|들어올림,construction_logistics,critical,"크레인, 지게차 등으로 물건을 들어 올기는 작업입니다.",들어 올림 작업,nâng hạ vật nặng,การยกของ,pengangkatan barang,सामान उचाल्ने काम,ការលើកទំនិញ,양중해|양중 작업,Translate as lifting/hoisting. Safety-critical; preserve exclusion-zone meaning.,high,false
SL047,걸다,걸다|안전고리 걸다|줄 걸다|훅 걸다,site_slang,high,"문맥에 따라 안전고리, 줄, 훅 등을 연결하거나 걸어 고정하는 지시입니다.",연결하거나 고정하다,móc hoặc cố định,เกี่ยวหรือล็อกให้แน่น,mengaitkan atau mengunci,अड्काउने वा सुरक्षित गर्ने,ភ្ជាប់ ឬ ទាក់ឱ្យជាប់,걸어|걸었어,"Use context: safety harness=clip on, crane hook=hook, rope=attach.",medium,true
SL048,풀다,풀다|해체하다|고정 해제|묶음 해제,site_slang,high,"묶음, 고정, 체결을 해제하는 지시입니다.",고정을 해제하다,tháo hoặc nới ra,ถอดหรือคลายออก,melepas atau mengendurkan,खोल्नु वा खुकुलो पार्नु,ដោះ ឬ បន្ធូរ,풀어|풀었어,"Use context: bolts, straps, ropes, supports. If load is suspended, warn before releasing.",medium,true
SL049,따다,따다|구멍따다|전선따다|라인따다,site_slang,normal,"문맥에 따라 구멍을 내거나, 전선/배관/라인을 분기한다는 표현입니다.",구멍을 내거나 분기하다,khoan lỗ hoặc tách nhánh đường dây/ống,เจาะรูหรือแยกสาย/ท่อ,membuat lubang atau mengambil cabang jalur,प्वाल बनाउनु वा लाइन छुट्याउनु,ធ្វើរន្ធ ឬ បំបែកខ្សែ/បំពង់,따줘|따놔,Highly context dependent. Electrical context requires qualified-worker warning.,medium_low,true
SL050,빼다,빼|빼다|분리|제거,site_slang,high,물건을 꺼내거나 제거하거나 분리하라는 지시입니다.,제거하거나 분리하다,lấy ra hoặc tháo ra,เอาออกหรือถอดออก,mengeluarkan atau melepas,निकाल्नु वा हटाउनु,ដកចេញ ឬ ដោះចេញ,빼|빼놔,"If machine is running, translate with stop-machine warning. Avoid vague remove if object is unsafe.",high,false
