id,domain,risk_level,ko,plain_ko,aliases,vi,th,id_translation,ne,km,manufacturing_context,translation_status
T078,machine,normal,지그,제품을 고정하는 작업 도구,고정틀,đồ gá,จิ๊กจับงาน,jig,जिग,ជីក/ឧបករណ៍ចាប់តម្រង់,Translate as manufacturing equipment or machine-part terminology. Prefer literal safety-critical wording over casual wording.,machine_seeded_needs_native_review
T079,machine,normal,금형,제품 모양을 만드는 틀,몰드,khuôn,แม่พิมพ์,cetakan,मोल्ड,ពុម្ព,Translate as manufacturing equipment or machine-part terminology. Prefer literal safety-critical wording over casual wording.,machine_seeded_needs_native_review
T080,machine,normal,공압,압축공기를 이용한 힘,에어압,khí nén,ระบบลม,pneumatik,न्युम्याटिक,ប្រព័ន្ធខ្យល់បង្ហាប់,Translate as manufacturing equipment or machine-part terminology. Prefer literal safety-critical wording over casual wording.,machine_seeded_needs_native_review
T081,machine,normal,유압,기름 압력을 이용한 힘,오일압,thủy lực,ระบบไฮดรอลิก,hidrolik,हाइड्रोलिक,ប្រព័ន្ធហាយដ្រូលិក,Translate as manufacturing equipment or machine-part terminology. Prefer literal safety-critical wording over casual wording.,machine_seeded_needs_native_review
T082,machine,high,에어건,압축공기를 분사하는 도구,공기총,súng hơi,ปืนลม,air gun,एयर गन,កាំភ្លើងខ្យល់,Translate as manufacturing equipment or machine-part terminology. Prefer literal safety-critical wording over casual wording.,machine_seeded_needs_native_review
T083,machine,high,콤프레서,압축공기를 만드는 장비,공기압축기,máy nén khí,เครื่องอัดอากาศ,kompresor,कम्प्रेसर,ម៉ាស៊ីនបង្ហាប់ខ្យល់,Translate as manufacturing equipment or machine-part terminology. Prefer literal safety-critical wording over casual wording.,machine_seeded_needs_native_review
T084,machine,normal,작업대,작업을 하는 테이블,테이블,bàn làm việc,โต๊ะทำงาน,meja kerja,वर्कबेन्च,តុធ្វើការ,Translate as manufacturing equipment or machine-part terminology. Prefer literal safety-critical wording over casual wording.,machine_seeded_needs_native_review
T085,machine,normal,공구함,공구를 보관하는 상자,툴박스,hộp dụng cụ,กล่องเครื่องมือ,kotak alat,औजार बाकस,ប្រអប់ឧបករណ៍,Translate as manufacturing equipment or machine-part terminology. Prefer literal safety-critical wording over casual wording.,machine_seeded_needs_native_review
T131,welding,critical,용접,금속을 열로 붙이는 작업,웰딩,hàn,การเชื่อม,pengelasan,वेल्डिङ,ផ្សារដែក,"Translate in welding, cutting, fire-prevention context. Preserve fire/explosion hazard wording.",machine_seeded_needs_native_review
T132,welding,high,용접봉,용접에 쓰는 금속 막대,전극봉,que hàn,ลวดเชื่อม,elektroda las,वेल्डिङ रड,ដំបងផ្សារ,"Translate in welding, cutting, fire-prevention context. Preserve fire/explosion hazard wording.",machine_seeded_needs_native_review
T133,welding,critical,용접불꽃,용접 중 발생하는 불꽃,스파크,tia lửa hàn,สะเก็ดไฟเชื่อม,percikan las,वेल्डिङको झिल्का,ផ្កាភ្លើងផ្សារ,"Translate in welding, cutting, fire-prevention context. Preserve fire/explosion hazard wording.",machine_seeded_needs_native_review
T134,welding,critical,불티,작업 중 튀는 작은 불꽃,스패터,tia lửa,สะเก็ดไฟ,percikan api,आगोको झिल्का,ផ្កាភ្លើង,"Translate in welding, cutting, fire-prevention context. Preserve fire/explosion hazard wording.",machine_seeded_needs_native_review
T135,welding,critical,가연물,불이 붙기 쉬운 물질,인화물,vật dễ cháy,วัสดุไวไฟ,bahan mudah terbakar,ज्वलनशील वस्तु,វត្ថុងាយឆេះ,"Translate in welding, cutting, fire-prevention context. Preserve fire/explosion hazard wording.",machine_seeded_needs_native_review
T136,welding,critical,인화성물질,쉽게 불이 붙는 물질,인화물질,chất dễ bắt lửa,สารไวไฟ,bahan mudah menyala,छिटो आगो लाग्ने पदार्थ,សារធាតុងាយឆេះ,"Translate in welding, cutting, fire-prevention context. Preserve fire/explosion hazard wording.",machine_seeded_needs_native_review
T137,welding,critical,산소통,산소가 들어 있는 압력용기,산소용기,bình oxy,ถังออกซิเจน,tabung oksigen,अक्सिजन सिलिन्डर,ធុងអុកស៊ីសែន,"Translate in welding, cutting, fire-prevention context. Preserve fire/explosion hazard wording.",machine_seeded_needs_native_review
T138,welding,critical,가스통,가스가 들어 있는 압력용기,가스용기,bình gas,ถังแก๊ส,tabung gas,ग्यास सिलिन्डर,ធុងហ្គាស,"Translate in welding, cutting, fire-prevention context. Preserve fire/explosion hazard wording.",machine_seeded_needs_native_review
T139,welding,critical,역화방지기,불꽃이 가스통으로 역류하는 것을 막는 장치,역화장치,van chống cháy ngược,อุปกรณ์กันไฟย้อนกลับ,alat pencegah api balik,ब्याकफायर रोक्ने उपकरण,ឧបករណ៍ការពារភ្លើងត្រឡប់,"Translate in welding, cutting, fire-prevention context. Preserve fire/explosion hazard wording.",machine_seeded_needs_native_review
T140,welding,high,환기,공기를 바꾸는 것,통풍,thông gió,การระบายอากาศ,ventilasi,हावा आवतजावत,ការបញ្ចេញខ្យល់,"Translate in welding, cutting, fire-prevention context. Preserve fire/explosion hazard wording.",machine_seeded_needs_native_review
T216,quality,normal,불량,기준에 맞지 않는 제품,NG,hàng lỗi,ของเสีย/ชิ้นงานเสีย,barang cacat,खराब सामान,ទំនិញខូច,Translate in product inspection and defect-sorting context. Avoid translating as moral quality or personal evaluation.,machine_seeded_needs_native_review
T217,quality,normal,양품,기준에 맞는 정상 제품,OK품,hàng đạt chuẩn,ของดี/ชิ้นงานผ่าน,barang baik,राम्रो सामान,ទំនិញល្អ,Translate in product inspection and defect-sorting context. Avoid translating as moral quality or personal evaluation.,machine_seeded_needs_native_review
T218,quality,normal,찍힘,표면에 눌린 자국,눌림자국,vết lõm,รอยบุบ,penyok,थिचिएको दाग,ស្នាមបុក/ខូចខាត,Translate in product inspection and defect-sorting context. Avoid translating as moral quality or personal evaluation.,machine_seeded_needs_native_review
T219,quality,normal,긁힘,표면이 긁힌 손상,스크래치,vết xước,รอยขีดข่วน,goresan,कोरिएको दाग,ស្នាមឆ្កូត,Translate in product inspection and defect-sorting context. Avoid translating as moral quality or personal evaluation.,machine_seeded_needs_native_review
T220,quality,normal,깨짐,제품이 갈라지거나 부서짐,파손,bị vỡ,แตก,pecah,फुटेको,បែក,Translate in product inspection and defect-sorting context. Avoid translating as moral quality or personal evaluation.,machine_seeded_needs_native_review
T221,quality,normal,누락,있어야 할 것이 빠짐,빠짐,thiếu,ขาด/ตกหล่น,terlewat/hilang,छुटेको,ខ្វះ/បាត់,Translate in product inspection and defect-sorting context. Avoid translating as moral quality or personal evaluation.,machine_seeded_needs_native_review
T222,quality,normal,오염,먼지나 이물질이 묻음,더러움,bị bẩn/nhiễm bẩn,ปนเปื้อน,terkontaminasi,दूषित,កខ្វក់,Translate in product inspection and defect-sorting context. Avoid translating as moral quality or personal evaluation.,machine_seeded_needs_native_review
T223,quality,normal,변색,색이 달라짐,색변함,đổi màu,สีเปลี่ยน,perubahan warna,रङ फेरिएको,ប្រែពណ៌,Translate in product inspection and defect-sorting context. Avoid translating as moral quality or personal evaluation.,machine_seeded_needs_native_review
T224,quality,normal,수량부족,개수가 모자람,개수부족,thiếu số lượng,จำนวนไม่พอ,jumlah kurang,संख्या कम,ចំនួនខ្វះ,Translate in product inspection and defect-sorting context. Avoid translating as moral quality or personal evaluation.,machine_seeded_needs_native_review
T225,quality,normal,재작업,다시 고쳐 작업함,리워크,làm lại,ทำซ้ำ/แก้งาน,kerja ulang,फेरि काम गर्नु,ធ្វើឡើងវិញ,Translate in product inspection and defect-sorting context. Avoid translating as moral quality or personal evaluation.,machine_seeded_needs_native_review
T226,quality,normal,폐기,버리거나 사용하지 않음,버림,loại bỏ,ทิ้ง/คัดทิ้ง,buang,फाल्नु,បោះចោល,Translate in product inspection and defect-sorting context. Avoid translating as moral quality or personal evaluation.,machine_seeded_needs_native_review
T227,quality,normal,샘플,검사용 대표 제품,시료,mẫu,ตัวอย่าง,sampel,नमूना,គំរូ,Translate in product inspection and defect-sorting context. Avoid translating as moral quality or personal evaluation.,machine_seeded_needs_native_review
T228,quality,normal,검사,기준에 맞는지 확인,체크,kiểm tra,ตรวจสอบ,inspeksi,जाँच,ពិនិត្យ,Translate in product inspection and defect-sorting context. Avoid translating as moral quality or personal evaluation.,machine_seeded_needs_native_review
T229,quality,normal,포장방향,제품을 넣는 방향,방향,hướng đóng gói,ทิศทางการบรรจุ,arah pengemasan,प्याकिङ दिशा,ទិសដៅវេចខ្ចប់,Translate in product inspection and defect-sorting context. Avoid translating as moral quality or personal evaluation.,machine_seeded_needs_native_review
T230,quality,normal,로트번호,제품 묶음 식별 번호,LOT,số lô,หมายเลขล็อต,nomor lot,लट नम्बर,លេខឡូត៍,Translate in product inspection and defect-sorting context. Avoid translating as moral quality or personal evaluation.,machine_seeded_needs_native_review
