id,domain,risk_level,ko,vi,normalized_ko,term_refs,status
VIS0025,manufacturing_machine,normal,절단기 확인하고 시작하세요.,Hãy kiểm tra máy cắt rồi bắt đầu.,절단기 확인하고 시작하세요.,VIT0005,seed_needs_native_field_review
VIS0026,manufacturing_machine,normal,절단기 문제 있으면 바로 말하세요.,"Nếu máy cắt có vấn đề, hãy báo ngay.",절단기 문제 있으면 바로 말하세요.,VIT0005,seed_needs_native_field_review
VIS0027,manufacturing_machine,normal,절단기 작업 전 안전 상태를 확인하세요.,"Trước khi làm máy cắt, hãy kiểm tra tình trạng an toàn.",절단기 작업 전 안전 상태를 확인하세요.,VIT0005,seed_needs_native_field_review
VIS0028,manufacturing_machine,normal,절단기 끝나면 관리자에게 보고하세요.,"Khi xong máy cắt, hãy báo cho quản lý.",절단기 끝나면 관리자에게 보고하세요.,VIT0005,seed_needs_native_field_review
VIS0029,manufacturing_machine,normal,절단기는 따로 보관하세요.,Hãy bảo quản riêng máy cắt.,절단기는 따로 보관하세요.,VIT0005,seed_needs_native_field_review
VIS0030,manufacturing_machine,normal,절단기 주변을 정리하세요.,Hãy dọn dẹp xung quanh máy cắt.,절단기 주변을 정리하세요.,VIT0005,seed_needs_native_field_review
VIS0031,manufacturing_machine,normal,파쇄기 확인하고 시작하세요.,Hãy kiểm tra máy nghiền rồi bắt đầu.,파쇄기 확인하고 시작하세요.,VIT0006,seed_needs_native_field_review
VIS0032,manufacturing_machine,normal,파쇄기 문제 있으면 바로 말하세요.,"Nếu máy nghiền có vấn đề, hãy báo ngay.",파쇄기 문제 있으면 바로 말하세요.,VIT0006,seed_needs_native_field_review
VIS0033,manufacturing_machine,normal,파쇄기 작업 전 안전 상태를 확인하세요.,"Trước khi làm máy nghiền, hãy kiểm tra tình trạng an toàn.",파쇄기 작업 전 안전 상태를 확인하세요.,VIT0006,seed_needs_native_field_review
VIS0034,manufacturing_machine,normal,파쇄기 끝나면 관리자에게 보고하세요.,"Khi xong máy nghiền, hãy báo cho quản lý.",파쇄기 끝나면 관리자에게 보고하세요.,VIT0006,seed_needs_native_field_review
VIS0035,manufacturing_machine,normal,파쇄기는 따로 보관하세요.,Hãy bảo quản riêng máy nghiền.,파쇄기는 따로 보관하세요.,VIT0006,seed_needs_native_field_review
VIS0036,manufacturing_machine,normal,파쇄기 주변을 정리하세요.,Hãy dọn dẹp xung quanh máy nghiền.,파쇄기 주변을 정리하세요.,VIT0006,seed_needs_native_field_review
VIS0037,manufacturing_machine,normal,압축기 확인하고 시작하세요.,Hãy kiểm tra máy ép nén rồi bắt đầu.,압축기 확인하고 시작하세요.,VIT0007,seed_needs_native_field_review
VIS0038,manufacturing_machine,normal,압축기 문제 있으면 바로 말하세요.,"Nếu máy ép nén có vấn đề, hãy báo ngay.",압축기 문제 있으면 바로 말하세요.,VIT0007,seed_needs_native_field_review
VIS0039,manufacturing_machine,normal,압축기 작업 전 안전 상태를 확인하세요.,"Trước khi làm máy ép nén, hãy kiểm tra tình trạng an toàn.",압축기 작업 전 안전 상태를 확인하세요.,VIT0007,seed_needs_native_field_review
VIS0040,manufacturing_machine,normal,압축기 끝나면 관리자에게 보고하세요.,"Khi xong máy ép nén, hãy báo cho quản lý.",압축기 끝나면 관리자에게 보고하세요.,VIT0007,seed_needs_native_field_review
VIS0041,manufacturing_machine,normal,압축기는 따로 보관하세요.,Hãy bảo quản riêng máy ép nén.,압축기는 따로 보관하세요.,VIT0007,seed_needs_native_field_review
VIS0042,manufacturing_machine,normal,압축기 주변을 정리하세요.,Hãy dọn dẹp xung quanh máy ép nén.,압축기 주변을 정리하세요.,VIT0007,seed_needs_native_field_review
VIS0043,manufacturing_machine,normal,혼합기 확인하고 시작하세요.,Hãy kiểm tra máy trộn rồi bắt đầu.,혼합기 확인하고 시작하세요.,VIT0008,seed_needs_native_field_review
VIS0044,manufacturing_machine,normal,혼합기 문제 있으면 바로 말하세요.,"Nếu máy trộn có vấn đề, hãy báo ngay.",혼합기 문제 있으면 바로 말하세요.,VIT0008,seed_needs_native_field_review
VIS0045,manufacturing_machine,normal,혼합기 작업 전 안전 상태를 확인하세요.,"Trước khi làm máy trộn, hãy kiểm tra tình trạng an toàn.",혼합기 작업 전 안전 상태를 확인하세요.,VIT0008,seed_needs_native_field_review
VIS0046,manufacturing_machine,normal,혼합기 끝나면 관리자에게 보고하세요.,"Khi xong máy trộn, hãy báo cho quản lý.",혼합기 끝나면 관리자에게 보고하세요.,VIT0008,seed_needs_native_field_review
VIS0047,manufacturing_machine,normal,혼합기는 따로 보관하세요.,Hãy bảo quản riêng máy trộn.,혼합기는 따로 보관하세요.,VIT0008,seed_needs_native_field_review
VIS0048,manufacturing_machine,normal,혼합기 주변을 정리하세요.,Hãy dọn dẹp xung quanh máy trộn.,혼합기 주변을 정리하세요.,VIT0008,seed_needs_native_field_review
VIS0049,manufacturing_machine,normal,포장기 확인하고 시작하세요.,Hãy kiểm tra máy đóng gói rồi bắt đầu.,포장기 확인하고 시작하세요.,VIT0009,seed_needs_native_field_review
VIS0050,manufacturing_machine,normal,포장기 문제 있으면 바로 말하세요.,"Nếu máy đóng gói có vấn đề, hãy báo ngay.",포장기 문제 있으면 바로 말하세요.,VIT0009,seed_needs_native_field_review
VIS0051,manufacturing_machine,normal,포장기 작업 전 안전 상태를 확인하세요.,"Trước khi làm máy đóng gói, hãy kiểm tra tình trạng an toàn.",포장기 작업 전 안전 상태를 확인하세요.,VIT0009,seed_needs_native_field_review
VIS0052,manufacturing_machine,normal,포장기 끝나면 관리자에게 보고하세요.,"Khi xong máy đóng gói, hãy báo cho quản lý.",포장기 끝나면 관리자에게 보고하세요.,VIT0009,seed_needs_native_field_review
VIS0053,manufacturing_machine,normal,포장기는 따로 보관하세요.,Hãy bảo quản riêng máy đóng gói.,포장기는 따로 보관하세요.,VIT0009,seed_needs_native_field_review
VIS0054,manufacturing_machine,normal,포장기 주변을 정리하세요.,Hãy dọn dẹp xung quanh máy đóng gói.,포장기 주변을 정리하세요.,VIT0009,seed_needs_native_field_review
VIS0055,manufacturing_machine,normal,선반 확인하고 시작하세요.,Hãy kiểm tra máy tiện rồi bắt đầu.,선반 확인하고 시작하세요.,VIT0010,seed_needs_native_field_review
VIS0056,manufacturing_machine,normal,선반 문제 있으면 바로 말하세요.,"Nếu máy tiện có vấn đề, hãy báo ngay.",선반 문제 있으면 바로 말하세요.,VIT0010,seed_needs_native_field_review
VIS0057,manufacturing_machine,normal,선반 작업 전 안전 상태를 확인하세요.,"Trước khi làm máy tiện, hãy kiểm tra tình trạng an toàn.",선반 작업 전 안전 상태를 확인하세요.,VIT0010,seed_needs_native_field_review
VIS0058,manufacturing_machine,normal,선반 끝나면 관리자에게 보고하세요.,"Khi xong máy tiện, hãy báo cho quản lý.",선반 끝나면 관리자에게 보고하세요.,VIT0010,seed_needs_native_field_review
VIS0059,manufacturing_machine,normal,선반는 따로 보관하세요.,Hãy bảo quản riêng máy tiện.,선반는 따로 보관하세요.,VIT0010,seed_needs_native_field_review
VIS0060,manufacturing_machine,normal,선반 주변을 정리하세요.,Hãy dọn dẹp xung quanh máy tiện.,선반 주변을 정리하세요.,VIT0010,seed_needs_native_field_review
VIS0061,manufacturing_machine,normal,밀링기 확인하고 시작하세요.,Hãy kiểm tra máy phay rồi bắt đầu.,밀링기 확인하고 시작하세요.,VIT0011,seed_needs_native_field_review
VIS0062,manufacturing_machine,normal,밀링기 문제 있으면 바로 말하세요.,"Nếu máy phay có vấn đề, hãy báo ngay.",밀링기 문제 있으면 바로 말하세요.,VIT0011,seed_needs_native_field_review
VIS0063,manufacturing_machine,normal,밀링기 작업 전 안전 상태를 확인하세요.,"Trước khi làm máy phay, hãy kiểm tra tình trạng an toàn.",밀링기 작업 전 안전 상태를 확인하세요.,VIT0011,seed_needs_native_field_review
VIS0064,manufacturing_machine,normal,밀링기 끝나면 관리자에게 보고하세요.,"Khi xong máy phay, hãy báo cho quản lý.",밀링기 끝나면 관리자에게 보고하세요.,VIT0011,seed_needs_native_field_review
VIS0065,manufacturing_machine,normal,밀링기는 따로 보관하세요.,Hãy bảo quản riêng máy phay.,밀링기는 따로 보관하세요.,VIT0011,seed_needs_native_field_review
VIS0066,manufacturing_machine,normal,밀링기 주변을 정리하세요.,Hãy dọn dẹp xung quanh máy phay.,밀링기 주변을 정리하세요.,VIT0011,seed_needs_native_field_review
VIS0067,manufacturing_machine,normal,드릴 확인하고 시작하세요.,Hãy kiểm tra máy khoan rồi bắt đầu.,드릴 확인하고 시작하세요.,VIT0012,seed_needs_native_field_review
VIS0068,manufacturing_machine,normal,드릴 문제 있으면 바로 말하세요.,"Nếu máy khoan có vấn đề, hãy báo ngay.",드릴 문제 있으면 바로 말하세요.,VIT0012,seed_needs_native_field_review
VIS0069,manufacturing_machine,normal,드릴 작업 전 안전 상태를 확인하세요.,"Trước khi làm máy khoan, hãy kiểm tra tình trạng an toàn.",드릴 작업 전 안전 상태를 확인하세요.,VIT0012,seed_needs_native_field_review
VIS0070,manufacturing_machine,normal,드릴 끝나면 관리자에게 보고하세요.,"Khi xong máy khoan, hãy báo cho quản lý.",드릴 끝나면 관리자에게 보고하세요.,VIT0012,seed_needs_native_field_review
VIS0071,manufacturing_machine,normal,드릴는 따로 보관하세요.,Hãy bảo quản riêng máy khoan.,드릴는 따로 보관하세요.,VIT0012,seed_needs_native_field_review
VIS0072,manufacturing_machine,normal,드릴 주변을 정리하세요.,Hãy dọn dẹp xung quanh máy khoan.,드릴 주변을 정리하세요.,VIT0012,seed_needs_native_field_review
VIS0073,manufacturing_machine,normal,그라인더 확인하고 시작하세요.,Hãy kiểm tra máy mài rồi bắt đầu.,그라인더 확인하고 시작하세요.,VIT0013,seed_needs_native_field_review
VIS0074,manufacturing_machine,normal,그라인더 문제 있으면 바로 말하세요.,"Nếu máy mài có vấn đề, hãy báo ngay.",그라인더 문제 있으면 바로 말하세요.,VIT0013,seed_needs_native_field_review
VIS0075,manufacturing_machine,normal,그라인더 작업 전 안전 상태를 확인하세요.,"Trước khi làm máy mài, hãy kiểm tra tình trạng an toàn.",그라인더 작업 전 안전 상태를 확인하세요.,VIT0013,seed_needs_native_field_review
VIS0076,manufacturing_machine,normal,그라인더 끝나면 관리자에게 보고하세요.,"Khi xong máy mài, hãy báo cho quản lý.",그라인더 끝나면 관리자에게 보고하세요.,VIT0013,seed_needs_native_field_review
VIS0077,manufacturing_machine,normal,그라인더는 따로 보관하세요.,Hãy bảo quản riêng máy mài.,그라인더는 따로 보관하세요.,VIT0013,seed_needs_native_field_review
VIS0078,manufacturing_machine,normal,그라인더 주변을 정리하세요.,Hãy dọn dẹp xung quanh máy mài.,그라인더 주변을 정리하세요.,VIT0013,seed_needs_native_field_review
VIS0079,manufacturing_machine,normal,용접기 확인하고 시작하세요.,Hãy kiểm tra máy hàn rồi bắt đầu.,용접기 확인하고 시작하세요.,VIT0014,seed_needs_native_field_review
VIS0080,manufacturing_machine,normal,용접기 문제 있으면 바로 말하세요.,"Nếu máy hàn có vấn đề, hãy báo ngay.",용접기 문제 있으면 바로 말하세요.,VIT0014,seed_needs_native_field_review
VIS0081,manufacturing_machine,normal,용접기 작업 전 안전 상태를 확인하세요.,"Trước khi làm máy hàn, hãy kiểm tra tình trạng an toàn.",용접기 작업 전 안전 상태를 확인하세요.,VIT0014,seed_needs_native_field_review
VIS0082,manufacturing_machine,normal,용접기 끝나면 관리자에게 보고하세요.,"Khi xong máy hàn, hãy báo cho quản lý.",용접기 끝나면 관리자에게 보고하세요.,VIT0014,seed_needs_native_field_review
VIS0083,manufacturing_machine,normal,용접기는 따로 보관하세요.,Hãy bảo quản riêng máy hàn.,용접기는 따로 보관하세요.,VIT0014,seed_needs_native_field_review
VIS0084,manufacturing_machine,normal,용접기 주변을 정리하세요.,Hãy dọn dẹp xung quanh máy hàn.,용접기 주변을 정리하세요.,VIT0014,seed_needs_native_field_review
VIS0085,manufacturing_machine,normal,에어건 확인하고 시작하세요.,Hãy kiểm tra súng hơi rồi bắt đầu.,에어건 확인하고 시작하세요.,VIT0015,seed_needs_native_field_review
VIS0086,manufacturing_machine,normal,에어건 문제 있으면 바로 말하세요.,"Nếu súng hơi có vấn đề, hãy báo ngay.",에어건 문제 있으면 바로 말하세요.,VIT0015,seed_needs_native_field_review
VIS0087,manufacturing_machine,normal,에어건 작업 전 안전 상태를 확인하세요.,"Trước khi làm súng hơi, hãy kiểm tra tình trạng an toàn.",에어건 작업 전 안전 상태를 확인하세요.,VIT0015,seed_needs_native_field_review
VIS0088,manufacturing_machine,normal,에어건 끝나면 관리자에게 보고하세요.,"Khi xong súng hơi, hãy báo cho quản lý.",에어건 끝나면 관리자에게 보고하세요.,VIT0015,seed_needs_native_field_review
VIS0089,manufacturing_machine,normal,에어건는 따로 보관하세요.,Hãy bảo quản riêng súng hơi.,에어건는 따로 보관하세요.,VIT0015,seed_needs_native_field_review
VIS0090,manufacturing_machine,normal,에어건 주변을 정리하세요.,Hãy dọn dẹp xung quanh súng hơi.,에어건 주변을 정리하세요.,VIT0015,seed_needs_native_field_review
VIS0091,manufacturing_machine,normal,콤프레서 확인하고 시작하세요.,Hãy kiểm tra máy nén khí rồi bắt đầu.,콤프레서 확인하고 시작하세요.,VIT0016,seed_needs_native_field_review
VIS0092,manufacturing_machine,normal,콤프레서 문제 있으면 바로 말하세요.,"Nếu máy nén khí có vấn đề, hãy báo ngay.",콤프레서 문제 있으면 바로 말하세요.,VIT0016,seed_needs_native_field_review
VIS0093,manufacturing_machine,normal,콤프레서 작업 전 안전 상태를 확인하세요.,"Trước khi làm máy nén khí, hãy kiểm tra tình trạng an toàn.",콤프레서 작업 전 안전 상태를 확인하세요.,VIT0016,seed_needs_native_field_review
VIS0094,manufacturing_machine,normal,콤프레서 끝나면 관리자에게 보고하세요.,"Khi xong máy nén khí, hãy báo cho quản lý.",콤프레서 끝나면 관리자에게 보고하세요.,VIT0016,seed_needs_native_field_review
VIS0095,manufacturing_machine,normal,콤프레서는 따로 보관하세요.,Hãy bảo quản riêng máy nén khí.,콤프레서는 따로 보관하세요.,VIT0016,seed_needs_native_field_review
VIS0096,manufacturing_machine,normal,콤프레서 주변을 정리하세요.,Hãy dọn dẹp xung quanh máy nén khí.,콤프레서 주변을 정리하세요.,VIT0016,seed_needs_native_field_review
VIS0097,manufacturing_machine,normal,지그 확인하고 시작하세요.,Hãy kiểm tra đồ gá rồi bắt đầu.,지그 확인하고 시작하세요.,VIT0017,seed_needs_native_field_review
VIS0098,manufacturing_machine,normal,지그 문제 있으면 바로 말하세요.,"Nếu đồ gá có vấn đề, hãy báo ngay.",지그 문제 있으면 바로 말하세요.,VIT0017,seed_needs_native_field_review
VIS0099,manufacturing_machine,normal,지그 작업 전 안전 상태를 확인하세요.,"Trước khi làm đồ gá, hãy kiểm tra tình trạng an toàn.",지그 작업 전 안전 상태를 확인하세요.,VIT0017,seed_needs_native_field_review
VIS0100,manufacturing_machine,normal,지그 끝나면 관리자에게 보고하세요.,"Khi xong đồ gá, hãy báo cho quản lý.",지그 끝나면 관리자에게 보고하세요.,VIT0017,seed_needs_native_field_review
VIS0101,manufacturing_machine,normal,지그는 따로 보관하세요.,Hãy bảo quản riêng đồ gá.,지그는 따로 보관하세요.,VIT0017,seed_needs_native_field_review
VIS0102,manufacturing_machine,normal,지그 주변을 정리하세요.,Hãy dọn dẹp xung quanh đồ gá.,지그 주변을 정리하세요.,VIT0017,seed_needs_native_field_review
VIS0103,manufacturing_machine,normal,금형 확인하고 시작하세요.,Hãy kiểm tra khuôn rồi bắt đầu.,금형 확인하고 시작하세요.,VIT0018,seed_needs_native_field_review
VIS0104,manufacturing_machine,normal,금형 문제 있으면 바로 말하세요.,"Nếu khuôn có vấn đề, hãy báo ngay.",금형 문제 있으면 바로 말하세요.,VIT0018,seed_needs_native_field_review
VIS0105,manufacturing_machine,normal,금형 작업 전 안전 상태를 확인하세요.,"Trước khi làm khuôn, hãy kiểm tra tình trạng an toàn.",금형 작업 전 안전 상태를 확인하세요.,VIT0018,seed_needs_native_field_review
VIS0106,manufacturing_machine,normal,금형 끝나면 관리자에게 보고하세요.,"Khi xong khuôn, hãy báo cho quản lý.",금형 끝나면 관리자에게 보고하세요.,VIT0018,seed_needs_native_field_review
VIS0107,manufacturing_machine,normal,금형는 따로 보관하세요.,Hãy bảo quản riêng khuôn.,금형는 따로 보관하세요.,VIT0018,seed_needs_native_field_review
VIS0108,manufacturing_machine,normal,금형 주변을 정리하세요.,Hãy dọn dẹp xung quanh khuôn.,금형 주변을 정리하세요.,VIT0018,seed_needs_native_field_review
VIS0109,manufacturing_machine,normal,로봇암 확인하고 시작하세요.,Hãy kiểm tra cánh tay robot rồi bắt đầu.,로봇암 확인하고 시작하세요.,VIT0019,seed_needs_native_field_review
VIS0110,manufacturing_machine,normal,로봇암 문제 있으면 바로 말하세요.,"Nếu cánh tay robot có vấn đề, hãy báo ngay.",로봇암 문제 있으면 바로 말하세요.,VIT0019,seed_needs_native_field_review
VIS0111,manufacturing_machine,normal,로봇암 작업 전 안전 상태를 확인하세요.,"Trước khi làm cánh tay robot, hãy kiểm tra tình trạng an toàn.",로봇암 작업 전 안전 상태를 확인하세요.,VIT0019,seed_needs_native_field_review
VIS0112,manufacturing_machine,normal,로봇암 끝나면 관리자에게 보고하세요.,"Khi xong cánh tay robot, hãy báo cho quản lý.",로봇암 끝나면 관리자에게 보고하세요.,VIT0019,seed_needs_native_field_review
VIS0113,manufacturing_machine,normal,로봇암는 따로 보관하세요.,Hãy bảo quản riêng cánh tay robot.,로봇암는 따로 보관하세요.,VIT0019,seed_needs_native_field_review
VIS0114,manufacturing_machine,normal,로봇암 주변을 정리하세요.,Hãy dọn dẹp xung quanh cánh tay robot.,로봇암 주변을 정리하세요.,VIT0019,seed_needs_native_field_review
VIS0115,manufacturing_machine,normal,CNC 확인하고 시작하세요.,Hãy kiểm tra máy CNC rồi bắt đầu.,CNC 확인하고 시작하세요.,VIT0020,seed_needs_native_field_review
VIS0116,manufacturing_machine,normal,CNC 문제 있으면 바로 말하세요.,"Nếu máy CNC có vấn đề, hãy báo ngay.",CNC 문제 있으면 바로 말하세요.,VIT0020,seed_needs_native_field_review
VIS0117,manufacturing_machine,normal,CNC 작업 전 안전 상태를 확인하세요.,"Trước khi làm máy CNC, hãy kiểm tra tình trạng an toàn.",CNC 작업 전 안전 상태를 확인하세요.,VIT0020,seed_needs_native_field_review
VIS0118,manufacturing_machine,normal,CNC 끝나면 관리자에게 보고하세요.,"Khi xong máy CNC, hãy báo cho quản lý.",CNC 끝나면 관리자에게 보고하세요.,VIT0020,seed_needs_native_field_review
VIS0119,manufacturing_machine,normal,CNC는 따로 보관하세요.,Hãy bảo quản riêng máy CNC.,CNC는 따로 보관하세요.,VIT0020,seed_needs_native_field_review
VIS0120,manufacturing_machine,normal,CNC 주변을 정리하세요.,Hãy dọn dẹp xung quanh máy CNC.,CNC 주변을 정리하세요.,VIT0020,seed_needs_native_field_review
VIS0121,manufacturing_machine,normal,호이스트 확인하고 시작하세요.,Hãy kiểm tra pa lăng rồi bắt đầu.,호이스트 확인하고 시작하세요.,VIT0021,seed_needs_native_field_review
VIS0122,manufacturing_machine,normal,호이스트 문제 있으면 바로 말하세요.,"Nếu pa lăng có vấn đề, hãy báo ngay.",호이스트 문제 있으면 바로 말하세요.,VIT0021,seed_needs_native_field_review
VIS0123,manufacturing_machine,normal,호이스트 작업 전 안전 상태를 확인하세요.,"Trước khi làm pa lăng, hãy kiểm tra tình trạng an toàn.",호이스트 작업 전 안전 상태를 확인하세요.,VIT0021,seed_needs_native_field_review
VIS0124,manufacturing_machine,normal,호이스트 끝나면 관리자에게 보고하세요.,"Khi xong pa lăng, hãy báo cho quản lý.",호이스트 끝나면 관리자에게 보고하세요.,VIT0021,seed_needs_native_field_review
VIS0125,manufacturing_machine,normal,호이스트는 따로 보관하세요.,Hãy bảo quản riêng pa lăng.,호이스트는 따로 보관하세요.,VIT0021,seed_needs_native_field_review
VIS0126,manufacturing_machine,normal,호이스트 주변을 정리하세요.,Hãy dọn dẹp xung quanh pa lăng.,호이스트 주변을 정리하세요.,VIT0021,seed_needs_native_field_review
VIS0127,manufacturing_machine,normal,전동공구 확인하고 시작하세요.,Hãy kiểm tra dụng cụ điện rồi bắt đầu.,전동공구 확인하고 시작하세요.,VIT0022,seed_needs_native_field_review
VIS0128,manufacturing_machine,normal,전동공구 문제 있으면 바로 말하세요.,"Nếu dụng cụ điện có vấn đề, hãy báo ngay.",전동공구 문제 있으면 바로 말하세요.,VIT0022,seed_needs_native_field_review
VIS0129,manufacturing_machine,normal,전동공구 작업 전 안전 상태를 확인하세요.,"Trước khi làm dụng cụ điện, hãy kiểm tra tình trạng an toàn.",전동공구 작업 전 안전 상태를 확인하세요.,VIT0022,seed_needs_native_field_review
VIS0130,manufacturing_machine,normal,전동공구 끝나면 관리자에게 보고하세요.,"Khi xong dụng cụ điện, hãy báo cho quản lý.",전동공구 끝나면 관리자에게 보고하세요.,VIT0022,seed_needs_native_field_review
VIS0131,manufacturing_machine,normal,전동공구는 따로 보관하세요.,Hãy bảo quản riêng dụng cụ điện.,전동공구는 따로 보관하세요.,VIT0022,seed_needs_native_field_review
VIS0132,manufacturing_machine,normal,전동공구 주변을 정리하세요.,Hãy dọn dẹp xung quanh dụng cụ điện.,전동공구 주변을 정리하세요.,VIT0022,seed_needs_native_field_review
VIS0133,manufacturing_machine,normal,작업대 확인하고 시작하세요.,Hãy kiểm tra bàn làm việc rồi bắt đầu.,작업대 확인하고 시작하세요.,VIT0023,seed_needs_native_field_review
VIS0134,manufacturing_machine,normal,작업대 문제 있으면 바로 말하세요.,"Nếu bàn làm việc có vấn đề, hãy báo ngay.",작업대 문제 있으면 바로 말하세요.,VIT0023,seed_needs_native_field_review
VIS0135,manufacturing_machine,normal,작업대 작업 전 안전 상태를 확인하세요.,"Trước khi làm bàn làm việc, hãy kiểm tra tình trạng an toàn.",작업대 작업 전 안전 상태를 확인하세요.,VIT0023,seed_needs_native_field_review
VIS0136,manufacturing_machine,normal,작업대 끝나면 관리자에게 보고하세요.,"Khi xong bàn làm việc, hãy báo cho quản lý.",작업대 끝나면 관리자에게 보고하세요.,VIT0023,seed_needs_native_field_review
VIS0137,manufacturing_machine,normal,작업대는 따로 보관하세요.,Hãy bảo quản riêng bàn làm việc.,작업대는 따로 보관하세요.,VIT0023,seed_needs_native_field_review
VIS0138,manufacturing_machine,normal,작업대 주변을 정리하세요.,Hãy dọn dẹp xung quanh bàn làm việc.,작업대 주변을 정리하세요.,VIT0023,seed_needs_native_field_review
VIS0139,manufacturing_machine,normal,공구함 확인하고 시작하세요.,Hãy kiểm tra hộp dụng cụ rồi bắt đầu.,공구함 확인하고 시작하세요.,VIT0024,seed_needs_native_field_review
