id,canonical_ko,vi,variants_ko,asr_likely_misrecognitions,normalized_translation_rule,status
VIV0001,오야지,tổ trưởng/giám sát hiện trường,오야지|오야지해|오야지 하세요|오야지 좀 해|오야지 먼저|오야지 끝나면 보고|오야지 작업|오야지 봐|오야지 다시|오야지 조심|오야지 하지 마,오야지|오야지해|오야지 하세요|오야지 좀 해|오야지 먼저|오야지 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,seed_needs_field_review
VIV0014,아나방,khoan lỗ/coring,아나방|아나방해|아나방 하세요|아나방 좀 해|아나방 먼저|아나방 끝나면 보고|아나방 작업|아나방 봐|아나방 다시|아나방 조심|아나방 하지 마,아나방|아나방해|아나방 하세요|아나방 좀 해|아나방 먼저|아나방 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,seed_needs_field_review
VIV0015,메꾸라,nút bịt,메꾸라|메꾸라해|메꾸라 하세요|메꾸라 좀 해|메꾸라 먼저|메꾸라 끝나면 보고|메꾸라 작업|메꾸라 봐|메꾸라 다시|메꾸라 조심|메꾸라 하지 마,메꾸라|메꾸라해|메꾸라 하세요|메꾸라 좀 해|메꾸라 먼저|메꾸라 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,seed_needs_field_review
VIV0016,함마드릴,máy khoan búa,함마드릴|함마드릴해|함마드릴 하세요|함마드릴 좀 해|함마드릴 먼저|함마드릴 끝나면 보고|함마드릴 작업|함마드릴 봐|함마드릴 다시|함마드릴 조심|함마드릴 하지 마,함마드릴|함마드릴해|함마드릴 하세요|함마드릴 좀 해|함마드릴 먼저|함마드릴 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,seed_needs_field_review
VIV0017,레벨보다,kiểm tra cao độ,레벨보다|레벨보다해|레벨보다 하세요|레벨보다 좀 해|레벨보다 먼저|레벨보다 끝나면 보고|레벨보다 작업|레벨보다 봐|레벨보다 다시|레벨보다 조심|레벨보다 하지 마,레벨보다|레벨보다해|레벨보다 하세요|레벨보다 좀 해|레벨보다 먼저|레벨보다 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,seed_needs_field_review
VIV0018,먹놓다,bật dây mực,먹놓다|먹놓다해|먹놓다 하세요|먹놓다 좀 해|먹놓다 먼저|먹놓다 끝나면 보고|먹놓다 작업|먹놓다 봐|먹놓다 다시|먹놓다 조심|먹놓다 하지 마,먹놓다|먹놓다해|먹놓다 하세요|먹놓다 좀 해|먹놓다 먼저|먹놓다 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,seed_needs_field_review
VIV0019,가라,làm tạm bợ/giả,가라|가라해|가라 하세요|가라 좀 해|가라 먼저|가라 끝나면 보고|가라 작업|가라 봐|가라 다시|가라 조심|가라 하지 마,가라|가라해|가라 하세요|가라 좀 해|가라 먼저|가라 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,seed_needs_field_review
VIV0020,조지다,làm mạnh tay hoặc làm hỏng,조지다|조지다해|조지다 하세요|조지다 좀 해|조지다 먼저|조지다 끝나면 보고|조지다 작업|조지다 봐|조지다 다시|조지다 조심|조지다 하지 마,조지다|조지다해|조지다 하세요|조지다 좀 해|조지다 먼저|조지다 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,seed_needs_field_review
VIV0021,쪼인트,mối nối,쪼인트|쪼인트해|쪼인트 하세요|쪼인트 좀 해|쪼인트 먼저|쪼인트 끝나면 보고|쪼인트 작업|쪼인트 봐|쪼인트 다시|쪼인트 조심|쪼인트 하지 마,쪼인트|쪼인트해|쪼인트 하세요|쪼인트 좀 해|쪼인트 먼저|쪼인트 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,seed_needs_field_review
VIV0022,도비,vận chuyển/lắp đặt vật nặng,도비|도비해|도비 하세요|도비 좀 해|도비 먼저|도비 끝나면 보고|도비 작업|도비 봐|도비 다시|도비 조심|도비 하지 마,도비|도비해|도비 하세요|도비 좀 해|도비 먼저|도비 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,seed_needs_field_review
VIV0023,걸다,móc hoặc cố định,걸다|걸다해|걸다 하세요|걸다 좀 해|걸다 먼저|걸다 끝나면 보고|걸다 작업|걸다 봐|걸다 다시|걸다 조심|걸다 하지 마,걸다|걸다해|걸다 하세요|걸다 좀 해|걸다 먼저|걸다 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,seed_needs_field_review
VIV0024,풀다,tháo hoặc nới ra,풀다|풀다해|풀다 하세요|풀다 좀 해|풀다 먼저|풀다 끝나면 보고|풀다 작업|풀다 봐|풀다 다시|풀다 조심|풀다 하지 마,풀다|풀다해|풀다 하세요|풀다 좀 해|풀다 먼저|풀다 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,seed_needs_field_review
VIV0025,따다,khoan lỗ hoặc tách nhánh,따다|따다해|따다 하세요|따다 좀 해|따다 먼저|따다 끝나면 보고|따다 작업|따다 봐|따다 다시|따다 조심|따다 하지 마,따다|따다해|따다 하세요|따다 좀 해|따다 먼저|따다 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,seed_needs_field_review
VIV0026,빼다,lấy ra hoặc tháo ra,빼다|빼다해|빼다 하세요|빼다 좀 해|빼다 먼저|빼다 끝나면 보고|빼다 작업|빼다 봐|빼다 다시|빼다 조심|빼다 하지 마,빼다|빼다해|빼다 하세요|빼다 좀 해|빼다 먼저|빼다 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,seed_needs_field_review
VIV0027,올리다,nâng lên hoặc tăng,올리다|올리다해|올리다 하세요|올리다 좀 해|올리다 먼저|올리다 끝나면 보고|올리다 작업|올리다 봐|올리다 다시|올리다 조심|올리다 하지 마,올리다|올리다해|올리다 하세요|올리다 좀 해|올리다 먼저|올리다 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,seed_needs_field_review
VIV0028,내리다,hạ xuống hoặc giảm,내리다|내리다해|내리다 하세요|내리다 좀 해|내리다 먼저|내리다 끝나면 보고|내리다 작업|내리다 봐|내리다 다시|내리다 조심|내리다 하지 마,내리다|내리다해|내리다 하세요|내리다 좀 해|내리다 먼저|내리다 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,seed_needs_field_review
VIV0029,잡아주다,giữ giúp,잡아주다|잡아주다해|잡아주다 하세요|잡아주다 좀 해|잡아주다 먼저|잡아주다 끝나면 보고|잡아주다 작업|잡아주다 봐|잡아주다 다시|잡아주다 조심|잡아주다 하지 마,잡아주다|잡아주다해|잡아주다 하세요|잡아주다 좀 해|잡아주다 먼저|잡아주다 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,seed_needs_field_review
VIV0030,까대기,bốc dỡ thủ công,까대기|까대기해|까대기 하세요|까대기 좀 해|까대기 먼저|까대기 끝나면 보고|까대기 작업|까대기 봐|까대기 다시|까대기 조심|까대기 하지 마,까대기|까대기해|까대기 하세요|까대기 좀 해|까대기 먼저|까대기 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,seed_needs_field_review
VIV0031,노가다,lao động xây dựng nặng nhọc,노가다|노가다해|노가다 하세요|노가다 좀 해|노가다 먼저|노가다 끝나면 보고|노가다 작업|노가다 봐|노가다 다시|노가다 조심|노가다 하지 마,노가다|노가다해|노가다 하세요|노가다 좀 해|노가다 먼저|노가다 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,seed_needs_field_review
VIV0032,짬처리,đẩy việc tồn lại cho người khác,짬처리|짬처리해|짬처리 하세요|짬처리 좀 해|짬처리 먼저|짬처리 끝나면 보고|짬처리 작업|짬처리 봐|짬처리 다시|짬처리 조심|짬처리 하지 마,짬처리|짬처리해|짬처리 하세요|짬처리 좀 해|짬처리 먼저|짬처리 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,seed_needs_field_review
VIV0033,아시바,giàn giáo,아시바|아시바해|아시바 하세요|아시바 좀 해|아시바 먼저|아시바 끝나면 보고|아시바 작업|아시바 봐|아시바 다시|아시바 조심|아시바 하지 마,아씨봐|아씨봐해|아씨봐 하세요|아씨봐 좀 해|아씨봐 먼저|아씨봐 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,seed_needs_field_review
VIV0034,데스라,lan can hoặc thanh chắn an toàn,데스라|데스라해|데스라 하세요|데스라 좀 해|데스라 먼저|데스라 끝나면 보고|데스라 작업|데스라 봐|데스라 다시|데스라 조심|데스라 하지 마,데스라|데스라해|데스라 하세요|데스라 좀 해|데스라 먼저|데스라 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,seed_needs_field_review
VIV0035,기리바리,thanh chống tạm,기리바리|기리바리해|기리바리 하세요|기리바리 좀 해|기리바리 먼저|기리바리 끝나면 보고|기리바리 작업|기리바리 봐|기리바리 다시|기리바리 조심|기리바리 하지 마,기리봐리|기리봐리해|기리봐리 하세요|기리봐리 좀 해|기리봐리 먼저|기리봐리 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,seed_needs_field_review
VIV0036,나라시,san phẳng,나라시|나라시해|나라시 하세요|나라시 좀 해|나라시 먼저|나라시 끝나면 보고|나라시 작업|나라시 봐|나라시 다시|나라시 조심|나라시 하지 마,나라씨|나라씨해|나라씨 하세요|나라씨 좀 해|나라씨 먼저|나라씨 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,seed_needs_field_review
VIV0037,스미마끼,đánh dấu đường mực,스미마끼|스미마끼해|스미마끼 하세요|스미마끼 좀 해|스미마끼 먼저|스미마끼 끝나면 보고|스미마끼 작업|스미마끼 봐|스미마끼 다시|스미마끼 조심|스미마끼 하지 마,스미마끼|스미마끼해|스미마끼 하세요|스미마끼 좀 해|스미마끼 먼저|스미마끼 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,seed_needs_field_review
VIV0038,바라시,tháo dỡ,바라시|바라시해|바라시 하세요|바라시 좀 해|바라시 먼저|바라시 끝나면 보고|바라시 작업|바라시 봐|바라시 다시|바라시 조심|바라시 하지 마,봐라씨|봐라씨해|봐라씨 하세요|봐라씨 좀 해|봐라씨 먼저|봐라씨 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,seed_needs_field_review
VIV0039,하스리,đục phá bê tông,하스리|하스리해|하스리 하세요|하스리 좀 해|하스리 먼저|하스리 끝나면 보고|하스리 작업|하스리 봐|하스리 다시|하스리 조심|하스리 하지 마,하스리|하스리해|하스리 하세요|하스리 좀 해|하스리 먼저|하스리 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,seed_needs_field_review
VIV0040,오야지,tổ trưởng/giám sát hiện trường,오야지요|오야지해요|오야지 하세요요|오야지 좀 해요|오야지 먼저요|오야지 끝나면 보고요|오야지 작업요|오야지 봐요|오야지 다시요|오야지 조심요|오야지 하지 마요,오야지|오야지해|오야지 하세요|오야지 좀 해|오야지 먼저|오야지 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,generated_variant_needs_review
VIV0041,오야지,tổ trưởng/giám sát hiện trường,오야지요|오야지해요|오야지 하세요요|오야지 좀 해요|오야지 먼저요|오야지 끝나면 보고요|오야지 작업요|오야지 봐요|오야지 다시요|오야지 조심요|오야지 하지 마요,오야지|오야지해|오야지 하세요|오야지 좀 해|오야지 먼저|오야지 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,generated_variant_needs_review
VIV0042,오야지,tổ trưởng/giám sát hiện trường,오야지요|오야지해요|오야지 하세요요|오야지 좀 해요|오야지 먼저요|오야지 끝나면 보고요|오야지 작업요|오야지 봐요|오야지 다시요|오야지 조심요|오야지 하지 마요,오야지|오야지해|오야지 하세요|오야지 좀 해|오야지 먼저|오야지 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,generated_variant_needs_review
VIV0043,오야지,tổ trưởng/giám sát hiện trường,오야지요|오야지해요|오야지 하세요요|오야지 좀 해요|오야지 먼저요|오야지 끝나면 보고요|오야지 작업요|오야지 봐요|오야지 다시요|오야지 조심요|오야지 하지 마요,오야지|오야지해|오야지 하세요|오야지 좀 해|오야지 먼저|오야지 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,generated_variant_needs_review
VIV0044,오야지,tổ trưởng/giám sát hiện trường,오야지요|오야지해요|오야지 하세요요|오야지 좀 해요|오야지 먼저요|오야지 끝나면 보고요|오야지 작업요|오야지 봐요|오야지 다시요|오야지 조심요|오야지 하지 마요,오야지|오야지해|오야지 하세요|오야지 좀 해|오야지 먼저|오야지 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,generated_variant_needs_review
VIV0045,오야지,tổ trưởng/giám sát hiện trường,오야지요|오야지해요|오야지 하세요요|오야지 좀 해요|오야지 먼저요|오야지 끝나면 보고요|오야지 작업요|오야지 봐요|오야지 다시요|오야지 조심요|오야지 하지 마요,오야지|오야지해|오야지 하세요|오야지 좀 해|오야지 먼저|오야지 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,generated_variant_needs_review
VIV0046,오야지,tổ trưởng/giám sát hiện trường,오야지요|오야지해요|오야지 하세요요|오야지 좀 해요|오야지 먼저요|오야지 끝나면 보고요|오야지 작업요|오야지 봐요|오야지 다시요|오야지 조심요|오야지 하지 마요,오야지|오야지해|오야지 하세요|오야지 좀 해|오야지 먼저|오야지 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,generated_variant_needs_review
VIV0047,오야지,tổ trưởng/giám sát hiện trường,오야지요|오야지해요|오야지 하세요요|오야지 좀 해요|오야지 먼저요|오야지 끝나면 보고요|오야지 작업요|오야지 봐요|오야지 다시요|오야지 조심요|오야지 하지 마요,오야지|오야지해|오야지 하세요|오야지 좀 해|오야지 먼저|오야지 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,generated_variant_needs_review
VIV0048,오야지,tổ trưởng/giám sát hiện trường,오야지요|오야지해요|오야지 하세요요|오야지 좀 해요|오야지 먼저요|오야지 끝나면 보고요|오야지 작업요|오야지 봐요|오야지 다시요|오야지 조심요|오야지 하지 마요,오야지|오야지해|오야지 하세요|오야지 좀 해|오야지 먼저|오야지 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,generated_variant_needs_review
VIV0049,오야지,tổ trưởng/giám sát hiện trường,오야지요|오야지해요|오야지 하세요요|오야지 좀 해요|오야지 먼저요|오야지 끝나면 보고요|오야지 작업요|오야지 봐요|오야지 다시요|오야지 조심요|오야지 하지 마요,오야지|오야지해|오야지 하세요|오야지 좀 해|오야지 먼저|오야지 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,generated_variant_needs_review
VIV0050,오야지,tổ trưởng/giám sát hiện trường,오야지요|오야지해요|오야지 하세요요|오야지 좀 해요|오야지 먼저요|오야지 끝나면 보고요|오야지 작업요|오야지 봐요|오야지 다시요|오야지 조심요|오야지 하지 마요,오야지|오야지해|오야지 하세요|오야지 좀 해|오야지 먼저|오야지 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,generated_variant_needs_review
VIV0051,오야지,tổ trưởng/giám sát hiện trường,오야지요|오야지해요|오야지 하세요요|오야지 좀 해요|오야지 먼저요|오야지 끝나면 보고요|오야지 작업요|오야지 봐요|오야지 다시요|오야지 조심요|오야지 하지 마요,오야지|오야지해|오야지 하세요|오야지 좀 해|오야지 먼저|오야지 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,generated_variant_needs_review
VIV0052,오야지,tổ trưởng/giám sát hiện trường,오야지요|오야지해요|오야지 하세요요|오야지 좀 해요|오야지 먼저요|오야지 끝나면 보고요|오야지 작업요|오야지 봐요|오야지 다시요|오야지 조심요|오야지 하지 마요,오야지|오야지해|오야지 하세요|오야지 좀 해|오야지 먼저|오야지 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,generated_variant_needs_review
VIV0053,오야지,tổ trưởng/giám sát hiện trường,오야지요|오야지해요|오야지 하세요요|오야지 좀 해요|오야지 먼저요|오야지 끝나면 보고요|오야지 작업요|오야지 봐요|오야지 다시요|오야지 조심요|오야지 하지 마요,오야지|오야지해|오야지 하세요|오야지 좀 해|오야지 먼저|오야지 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,generated_variant_needs_review
VIV0054,오야지,tổ trưởng/giám sát hiện trường,오야지요|오야지해요|오야지 하세요요|오야지 좀 해요|오야지 먼저요|오야지 끝나면 보고요|오야지 작업요|오야지 봐요|오야지 다시요|오야지 조심요|오야지 하지 마요,오야지|오야지해|오야지 하세요|오야지 좀 해|오야지 먼저|오야지 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,generated_variant_needs_review
VIV0055,오야지,tổ trưởng/giám sát hiện trường,오야지요|오야지해요|오야지 하세요요|오야지 좀 해요|오야지 먼저요|오야지 끝나면 보고요|오야지 작업요|오야지 봐요|오야지 다시요|오야지 조심요|오야지 하지 마요,오야지|오야지해|오야지 하세요|오야지 좀 해|오야지 먼저|오야지 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,generated_variant_needs_review
VIV0056,오야지,tổ trưởng/giám sát hiện trường,오야지요|오야지해요|오야지 하세요요|오야지 좀 해요|오야지 먼저요|오야지 끝나면 보고요|오야지 작업요|오야지 봐요|오야지 다시요|오야지 조심요|오야지 하지 마요,오야지|오야지해|오야지 하세요|오야지 좀 해|오야지 먼저|오야지 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,generated_variant_needs_review
VIV0057,오야지,tổ trưởng/giám sát hiện trường,오야지요|오야지해요|오야지 하세요요|오야지 좀 해요|오야지 먼저요|오야지 끝나면 보고요|오야지 작업요|오야지 봐요|오야지 다시요|오야지 조심요|오야지 하지 마요,오야지|오야지해|오야지 하세요|오야지 좀 해|오야지 먼저|오야지 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,generated_variant_needs_review
VIV0058,오야지,tổ trưởng/giám sát hiện trường,오야지요|오야지해요|오야지 하세요요|오야지 좀 해요|오야지 먼저요|오야지 끝나면 보고요|오야지 작업요|오야지 봐요|오야지 다시요|오야지 조심요|오야지 하지 마요,오야지|오야지해|오야지 하세요|오야지 좀 해|오야지 먼저|오야지 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,generated_variant_needs_review
VIV0059,오야지,tổ trưởng/giám sát hiện trường,오야지요|오야지해요|오야지 하세요요|오야지 좀 해요|오야지 먼저요|오야지 끝나면 보고요|오야지 작업요|오야지 봐요|오야지 다시요|오야지 조심요|오야지 하지 마요,오야지|오야지해|오야지 하세요|오야지 좀 해|오야지 먼저|오야지 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,generated_variant_needs_review
VIV0060,오야지,tổ trưởng/giám sát hiện trường,오야지요|오야지해요|오야지 하세요요|오야지 좀 해요|오야지 먼저요|오야지 끝나면 보고요|오야지 작업요|오야지 봐요|오야지 다시요|오야지 조심요|오야지 하지 마요,오야지|오야지해|오야지 하세요|오야지 좀 해|오야지 먼저|오야지 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,generated_variant_needs_review
VIV0061,오야지,tổ trưởng/giám sát hiện trường,오야지요|오야지해요|오야지 하세요요|오야지 좀 해요|오야지 먼저요|오야지 끝나면 보고요|오야지 작업요|오야지 봐요|오야지 다시요|오야지 조심요|오야지 하지 마요,오야지|오야지해|오야지 하세요|오야지 좀 해|오야지 먼저|오야지 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,generated_variant_needs_review
VIV0062,오야지,tổ trưởng/giám sát hiện trường,오야지요|오야지해요|오야지 하세요요|오야지 좀 해요|오야지 먼저요|오야지 끝나면 보고요|오야지 작업요|오야지 봐요|오야지 다시요|오야지 조심요|오야지 하지 마요,오야지|오야지해|오야지 하세요|오야지 좀 해|오야지 먼저|오야지 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,generated_variant_needs_review
VIV0063,오야지,tổ trưởng/giám sát hiện trường,오야지요|오야지해요|오야지 하세요요|오야지 좀 해요|오야지 먼저요|오야지 끝나면 보고요|오야지 작업요|오야지 봐요|오야지 다시요|오야지 조심요|오야지 하지 마요,오야지|오야지해|오야지 하세요|오야지 좀 해|오야지 먼저|오야지 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,generated_variant_needs_review
VIV0064,오야지,tổ trưởng/giám sát hiện trường,오야지요|오야지해요|오야지 하세요요|오야지 좀 해요|오야지 먼저요|오야지 끝나면 보고요|오야지 작업요|오야지 봐요|오야지 다시요|오야지 조심요|오야지 하지 마요,오야지|오야지해|오야지 하세요|오야지 좀 해|오야지 먼저|오야지 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,generated_variant_needs_review
